Generation;BestFitness;AverageFitnessPopulation;BestNumberOfWheels;BestCarMass;BestRoadCompleted;BestDistance;BestEllapsedTime;BestSumVelocities;BestSumAccelerations;BestSumForces
Generation;BestFitness;AverageFitnessPopulation;BestNumberOfWheels;BestCarMass;BestRoadCompleted;BestDistance;BestEllapsedTime;BestSumVelocities;BestSumAccelerations;BestSumForces
1;230.813827514648;33.2496754810214;9;321.4472;False;901.459;33.06764;263.8815;7.754031;5851.222
2;232.763961791992;53.5286230646074;9;321.4472;False;915.4237;33.10167;265.8656;0.9023846;15382.63
3;497.239074707031;145.316824524105;9;326.3318;False;1971.219;76.403;573.6421;7.031871;16241.17
4;832.510620117188;384.514238739014;9;326.9073;True;2760;105.7986;838.3093;19.51566;1411900
5;857.510986328125;548.535756087303;9;340.9173;True;2760;108.434;865.945;29.76965;2656110
6;872.690063476563;557.10051574707;9;326.9073;True;2760;102.5845;875.2745;35.71171;7342912
7;895.044189453125;667.253633117676;10;335.3318;True;2760;104.3158;899.36;25.19706;4977913
8;880.809509277344;607.026437479258;10;335.3318;True;2760;101.6464;882.4559;37.1961;1.638436E+07
9;908.736022949219;624.044659423828;10;361.2593;True;2760;101.4132;910.1492;33.92204;672080.4
10;906.241943359375;618.19163377285;10;332.4929;True;2760;96.42419;902.6661;32.54845;4010469
11;911.006896972656;634.030917775631;10;335.3318;True;2760;93.58203;904.5889;35.83279;1742905
12;905.895141601563;739.786631774902;10;327.6004;True;2760;96.75378;902.6489;32.09218;7954738
13;930.627258300781;738.342229568958;9;302.3745;True;2760;74.86511;905.4924;34.49888;3209477
14;928.33837890625;657.369744324684;9;302.3745;True;2760;83.16077;911.4991;33.37027;988137.3
15;934.362487792969;687.811488040537;9;302.3745;True;2760;74.50208;908.8646;39.68264;4952111
16;933.716369628906;757.312022995949;9;272.3985;True;2760;77.30322;911.0196;34.02637;1.027285E+07
17;931.347229003906;830.598962402344;9;303.2577;True;2760;70.06982;901.4171;29.14186;2427508
18;927.312805175781;814.136868286133;9;260.6968;True;2760;80.98975;908.3026;25.61997;27234.97
19;934.34765625;814.352417421341;9;273.6742;True;2760;71.77808;906.1257;38.39334;3803886
20;942.065673828125;825.673175048828;8;247.7004;True;2760;65.82031;907.886;30.32327;9881402
21;942.309692382813;684.314477396011;8;247.7004;True;2760;66.35278;908.6625;33.69034;3478280
22;949.055725097656;810.800749206543;8;216.8287;True;2760;62.33472;911.3904;35.23714;1.169019E+07
23;939.883728027344;776.400709879398;8;247.7004;True;2760;68.4729;908.3566;32.46444;5901363
24;940.601196289063;871.908975219727;8;192.3233;True;2760;66.28516;906.8864;32.82926;2.475293E+07
25;950.90673828125;921.156900024414;8;192.3233;True;2760;62.1499;913.0566;50.9981;1.666162E+07
