Generation;BestFitness;AverageFitnessPopulation;BestNumberOfWheels;BestCarMass;BestRoadCompleted;BestDistance;BestEllapsedTime;BestSumVelocities;BestSumAccelerations;BestSumForces
29;33134,77734375;17592,0389160156;10;221,4768;True;2760;90,55615;898,0273;33,93259;554351,4
30;31865,74609375;21848,6436668396;8;221,6632;True;2760;92,22266;883,4089;42,96589;1611878
#
Generation;BestFitness;AverageFitnessPopulation;BestNumberOfWheels;BestCarMass;BestRoadCompleted;BestDistance;BestEllapsedTime;BestSumVelocities;BestSumAccelerations;BestSumForces
1;28164,529296875;2963,418158108;10;292,6876;True;2760;124,4597;774,4708;61,89761;4696226
2;30826,103515625;8720,88210293055;9;316,8738;True;2760;134,5142;759,4766;32,22034;2478248
3;32068,763671875;14382,4510879517;10;321,5835;True;2760;96,11835;787,4745;30,07326;1442697
4;33284,9453125;17001,5129150391;10;307,4196;True;2760;112,968;772,6722;34,06363;429213
5;33625,0703125;22304,8038574219;10;307,4196;True;2760;121,4183;824,3798;19,41763;145775,5
6;33537,73046875;18564,8317138672;10;307,4196;True;2760;112,8614;731,7771;35,34486;218557
7;33442,953125;17237,1765852749;9;301,9109;True;2760;112,8177;787,8676;46,79622;297537,9
8;33583,49609375;19602,0336181641;10;307,4196;True;2760;116,1343;825,0327;39,78287;180420,1
9;33327,90625;18102,6197265625;10;307,4196;True;2760;102,3539;827,092;34,19978;393412,2
10;33123,26953125;17240,4888427734;10;307,4196;True;2760;130,2307;833,6252;25,89367;563943,1
11;33597,05078125;22123,2656115055;9;315,1257;True;2760;110,8512;865,7593;38,30984;169125,5
12;33732,4609375;22404,92421875;10;277,3684;True;2760;129,5238;831,8453;40,6223;56280,95
13;33081,44140625;19133,0687011719;10;301,7184;True;2760;96,85474;810,0662;16,98824;598798,8
14;32931,28125;21645,198046875;10;281,8699;True;2760;97,14941;872,5707;33,8898;723932,8
15;32634,880859375;20523,4028320313;10;281,8699;True;2760;98,1582;866,1357;27,73565;970932,2
16;33410,1875;21043,3406005859;10;281,8699;True;2760;88,64429;893,5095;29,20799;324843,4
17;33415,71875;26632,7913574219;10;281,8699;True;2760;92,23413;888,2412;34,38572;320234,6
18;33512,01171875;26006,3268554687;10;281,8699;True;2760;99,31909;877,5654;37,8857;239990,2
19;32821,7421875;23539,2803222656;10;244,5773;True;2760;104,1504;868,1205;22,08182;815215,2
20;33583,140625;24683,5443847656;10;281,7715;True;2760;97,52222;867,3882;42,11039;180716
21;33518,1953125;25597,5100097656;10;249,5808;True;2760;79,01953;893,1415;39,61421;234837,2
22;33340,10546875;20454,4757324219;10;281,8699;True;2760;103,7434;890,0229;37,60936;383244,3
23;32076,9765625;20864,5526418686;9;270,5454;True;2760;91,39136;869,5956;38,7391;1435854
24;32460,484375;19008,4514515877;9;270,5454;True;2760;92,02271;896,736;28,25154;1116263
25;33693,83984375;23662,1660651207;9;270,5454;True;2760;82,50415;892,3773;34,44303;88465,18
26;33662,1484375;20987,8854957014;10;249,5808;True;2760;85,75439;858,5688;36,16967;114876,9
27;33516,52734375;21741,4171142578;8;262,6448;True;2760;102,2908;846,303;29,13093;236228,8
28;33606,73828125;23406,5778320312;10;249,5808;True;2760;81,16284;901,5002;38,119;161051,3
29;33664,171875;22831,3584472656;9;271,7001;True;2760;93,15601;903,6724;40,99194;113190
30;33673,4765625;27537,6070556641;9;244,2523;True;2760;84,44238;897,3084;39,94102;105437,5
#
Generation;BestFitness;AverageFitnessPopulation;BestNumberOfWheels;BestCarMass;BestRoadCompleted;BestDistance;BestEllapsedTime;BestSumVelocities;BestSumAccelerations;BestSumForces
1;32640,28125;2847,05721626282;9;288,0233;True;2760;119,5407;813,3952;31,69452;966431,9
2;32887,2265625;6778,01422348022;9;288,0233;True;2760;117,6506;776,6913;27,41735;760645,6
3;30304,650390625;12064,4818725586;9;288,0233;True;2760;140,0582;790,1856;15,92426;2912791
4;33078,2265625;17345,7279634476;9;288,0233;True;2760;106,8793;841,0074;22,99491;601478,4
5;33644,16015625;23744,2305664063;9;287,6119;True;2760;96,49915;899,8592;32,72574;129866,6
6;32648;21037,7068359375;9;287,6119;True;2760;141,9454;862,5648;22,12632;960000,3
7;32674,138671875;18027,1402877808;9;291,0567;True;2760;90,45203;882,6689;30,81507;938217,3
8;33598,0546875;18702,5319941521;9;291,6307;True;2760;93,96045;877,5889;23,37552;168288,3
9;33577,99609375;27446,8353515625;9;291,6307;True;2760;102,2596;866,6014;31,4442;185003,8
10;33534,55859375;24500,6498371124;9;280,8976;True;2760;115,6383;876,9217;33,22635;221202,3
11;33100,91796875;25898,1936035156;9;298,332;True;2760;87,21106;903,1433;34,09104;582569,6
12;33326,875;25848,7444091797;9;275,2132;True;2760;106,4871;895,2331;28,13259;394269,3
13;33460,125;23885,9425408363;8;296,3689;True;2760;85,83093;892,8958;28,36473;283230,8
14;33723,2578125;24012,2107910156;8;296,3689;True;2760;97,23535;768,7709;24,78237;63950,31
15;33475,71484375;24610,1725585937;8;296,3689;True;2760;83,1875;910,9727;25,78942;270236,1
16;33656,30078125;22344,3158512115;8;289,6675;True;2760;87,76416;880,2805;27,07313;119750,6
17;33622,05859375;26659,5565917969;8;281,1446;True;2760;113,9751;887,4772;26,03874;148283,3
18;33485,85546875;18535,410827446;9;323,4681;True;2760;104,6875;876,6192;31,09373;261785,8
19;33675,4296875;22035,8111083984;8;289,6675;True;2760;104,3936;890,3812;29,79841;103809,3
20;33132,99609375;22241,9610454559;7;288,1588;True;2760;72,06104;904,7745;28,31454;555835,6
21;33140,90234375;22625,2258768082;8;296,4595;True;2760;93,29614;887,9956;26,78522;549246,9
22;32827,57421875;22910,8911621094;7;298,8537;True;2760;88,67065;890,3199;40,81456;810354,8
23;33452,46875;22637,11640625;7;290,3307;True;2760;88,2522;900,088;28,68966;289610,9
24;33687,39453125;22690,6529541016;7;290,3307;True;2760;77,48633;908,8198;26,43413;93837,09
25;32454,515625;23029,4626464844;7;290,3307;True;2760;95,56079;867,9244;27,30962;1121237
26;33694,875;27809,6700683594;7;254,5437;True;2760;101,2395;888,1735;29,29603;87604,37
27;33236,984375;21503,7265357971;8;289,6675;True;2760;98,04761;856,0815;31,06971;469180,5
28;33715,4609375;17154,0435963631;7;254,5437;True;2760;113,8552;867,889;34,44922;70448,96
29;33161,10546875;18186,1461370468;7;254,5437;True;2760;121,4131;861,4163;33,61278;532411,5
30;33402,01953125;18505,9626464844;7;283,866;True;2760;122,478;874,9509;20,22356;331651,3
#
Generation;BestFitness;AverageFitnessPopulation;BestNumberOfWheels;BestCarMass;BestRoadCompleted;BestDistance;BestEllapsedTime;BestSumVelocities;BestSumAccelerations;BestSumForces
1;6174,83203125;1266,22472695112;9;328,278;False;1234,966;54,18354;359,0328;11,82647;20995,05
2;12037,541015625;4682,80700103641;10;367,9632;False;2407,508;105,0319;667,0631;1,219591;37946,05
3;30312,94921875;7249,6330745697;9;332,475;True;2760;123,8959;834,6296;31,64238;2905876
4;11031,9248046875;6404,08903334141;9;332,475;False;2206,385;109,2521;658,6616;2,514887;49684,37
5;32349,26953125;9435,10959470272;9;347,3972;True;2760;111,4332;818,4133;25,28778;1208942
6;29071,158203125;11543,2205359459;9;333,3383;True;2760;116,5146;856,5591;21,63451;3940701
7;33706,7578125;13900,0836249352;8;295,058;True;2760;111,6047;857,9146;25,50155;77700,2
8;32791,6796875;10130,0574754238;9;346,4892;True;2760;85,43909;781,4132;35,22445;840267,2
9;32468,294921875;14082,5099559307;9;354,1072;True;2760;82,04651;794,2241;36,92451;1109754
10;33381,4609375;13955,7247259915;9;316,6341;True;2760;82,71985;869,3732;28,72942;348783,7
11;32896,5546875;21341,1755554199;9;316,6341;True;2760;86,51526;892,8552;29,2295;752872,2
12;32831,609375;16927,9161472321;9;316,6341;True;2760;89,16516;870,1528;30,27951;806993,3
13;31191,39453125;16367,5393596172;9;314,2668;True;2760;83,7179;886,4189;30,37317;2173837
14;32359,326171875;14085,5369396687;9;298,6254;True;2760;82,67993;875,0504;19,55591;1200561
15;33074,43359375;16896,5892261982;9;298,6254;True;2760;89,2627;865,1671;48,29143;604637,4
16;33341,28515625;20586,517606926;9;298,6254;True;2760;70,76038;886,3247;34,37655;382263,1
17;31271,302734375;16506,453081727;9;251,6556;True;2760;78,87622;779,3797;41,91819;2107247
18;30528,25;20814,72578125;9;293,1345;True;2760;77,25903;888,0016;38,60438;2726459
19;33459,6796875;24834,0677048743;9;303,3828;True;2760;90,38208;877,0611;43,95361;283600,3
20;33585,54296875;21931,3222179413;9;303,3828;True;2760;71,80908;874,5334;38,11392;178712,9
21;33292,21484375;23632,6503578663;9;274,215;True;2760;84,27905;874,6699;40,64017;423155,4
22;33450,22265625;21353,5239966631;9;274,215;True;2760;77,04517;884,9966;39,68178;291479,8
23;32120,24609375;18004,2979588985;9;283,9359;True;2760;96,48779;884,0626;70,61184;1399796
24;32148,009765625;21568,7092136383;9;253,8516;True;2760;81,25;859,9927;39,34452;1376658
25;32866,859375;21500,7848144531;9;253,8516;True;2760;73,42871;880,0858;40,7182;777615,7
26;33462,609375;24157,0826171875;9;230,3711;True;2760;83,9646;866,8224;39,42981;281160
27;33032,37109375;23700,9608251572;10;279,2243;True;2760;98,80469;884,7189;13,01263;639692,3
28;30856,73046875;18544,8428177834;10;261,0911;True;2760;90,35791;879,9144;31,50549;2452724
29;32853,72265625;17503,4600358963;10;255,7438;True;2760;65,70557;796,2864;45,98634;788565,8
30;31364,537109375;20643,1127929688;10;255,7438;True;2760;57,51099;885,3812;62,51072;2029552
#
Generation;BestFitness;AverageFitnessPopulation;BestNumberOfWheels;BestCarMass;BestRoadCompleted;BestDistance;BestEllapsedTime;BestSumVelocities;BestSumAccelerations;BestSumForces
1;2956,916015625;377,024926292896;9;304,6873;False;591,3832;81,82912;174,6837;11,18388;15530,73
2;3378,15380859375;864,065748524666;9;346,3572;False;675,6307;82,98928;196,8493;0,595448;20470,06
3;13163,64453125;3240,64297337532;9;304,6873;False;2632,729;124,7045;760,3746;-19,01759;13037,19
4;31538,36328125;9855,05379452705;9;304,6873;True;2760;125,2914;758,6549;30,0642;1884698
5;33382,39453125;14129,7780576289;10;317,0869;True;2760;90,72968;769,4622;41,11676;348005,9
6;33552,91015625;20469,0621582031;9;315,6683;True;2760;103,1126;867,7309;29,73265;205907,1
7;32167,59375;16756,1500483513;9;299,5948;True;2760;115,2794;751,0751;8,328889;1360338
8;33504,1796875;16295,3072027266;9;315,6683;True;2760;99,23206;872,083;31,99357;246517
9;33698,47265625;20350,2854635537;9;315,6683;True;2760;105,8514;753,1407;25,85344;84606,61
10;31016,65234375;20833,6876058638;9;315,6683;True;2760;103,1538;818,5358;36,43071;2319457
11;33201,5859375;20635,0001642585;9;315,6683;True;2760;111,1621;785,3278;22,91876;498678,3
12;33571,51171875;22638,739453125;9;322,7959;True;2760;95,74377;861,1682;28,1555;190406,8
13;32135,861328125;18935,5706665039;9;322,7959;True;2760;96,15186;861,5142;34,63626;1386782
14;33724,70703125;22178,7279907227;8;303,2342;True;2760;90,5813;839,317;29,8826;62744,7
15;33469,76171875;21852,0434396744;9;312,8954;True;2760;89,69031;887,399;34,02458;275197
16;33618,37109375;20587,9982582092;8;303,0642;True;2760;110,4495;890,0311;33,28161;151358,8
17;33464,8203125;20780,7393554688;8;303,0642;True;2760;116,4141;891,8318;42,25376;279315,8
18;33633,51171875;21305,951953125;8;289,9716;True;2760;113,5613;908,0143;32,75398;138741,1
19;33662,75;17395,3750976563;8;303,0642;True;2760;119,4958;879,7296;34,42288;114373,6
20;32910,80078125;18603,9677490234;8;252,7572;True;2760;94,12622;876,2059;19,29652;740998,7
21;32183,689453125;16786,0966680527;8;252,7572;True;2760;96,63208;881,938;43,61069;1346925
22;32848,58984375;22110,136328125;7;300,3235;True;2760;103,2231;883,2076;18,79374;792841,9
23;33574,140625;22351,5012145996;8;256,2681;True;2760;97,95361;863,9693;42,88786;188216,4
24;32147,41796875;18639,2902404785;8;283,2321;True;2760;97,24316;877,8414;38,87471;1377152
25;32556,5703125;17723,9900146484;8;256,2681;True;2760;94,68018;866,5131;40,17652;1036191
26;32717,625;17900,7074007034;8;256,2681;True;2760;96,78027;801,2128;17,71872;901979,1
27;32498,201171875;21572,7198242188;8;281,0008;True;2760;94,93237;872,9457;26,05419;1084833
28;33449,9375;21501,7347068787;8;277,6068;True;2760;91,34424;847,8923;32,95841;291717,4
29;33527,21484375;22401,2233642578;8;277,6068;True;2760;82,78662;882,5408;32,14989;227319,5
30;33283,2578125;19559,3809326172;8;277,6068;True;2760;94,44141;866,6749;30,62008;430619,3
#
Generation;BestFitness;AverageFitnessPopulation;BestNumberOfWheels;BestCarMass;BestRoadCompleted;BestDistance;BestEllapsedTime;BestSumVelocities;BestSumAccelerations;BestSumForces
1;6162,4423828125;1674,73230470419;7;312,1624;False;1232,489;66,86368;357,0975;-1,988193;15071,35
2;9392,38671875;5242,61169780493;7;312,1624;False;1878,477;82,14778;559,8771;6,510177;17005,37
3;33415,8515625;9220,91956572533;7;316,674;True;2760;105,6772;796,7466;17,94864;320123,8
4;33699,953125;14388,9569425583;7;312,8015;True;2760;126,7161;743,2836;27,51529;83370,82
